,kepid,ra_kic,dec_kic,source_id,random_index,ra,dec,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,astrometric_params_solved,pseudocolour,pseudocolour_error,ipd_frac_multi_peak,ipd_frac_odd_win,ruwe,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,bp_rp,radial_velocity,radial_velocity_error,rv_nb_transits,rv_expected_sig_to_noise,rv_renormalised_gof,rv_chisq_pvalue,phot_variable_flag,l,b,in_qso_candidates,in_galaxy_candidates,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,in_andromeda_survey,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,ag_gspphot,ebpminrp_gspphot,angdist,kepler_gaia_ang_dist,pm_corrected,tm_designation,kepmag,teff,teff_err1,teff_err2,teff_prov,logg,logg_err1,logg_err2,logg_prov,feh,feh_err1,feh_err2,feh_prov,radius,radius_err1,radius_err2,mass,mass_err1,mass_err2,prov_sec,nconfp,nkoi,ntce,jmag,hmag,kmag,planet?,kepler_gaia_mag_diff,KIC,Teff,log(g),Mass,PRot,e_PRot,Rper,LPH,w,DC,Flag,heritage,f3_std
407,6671365,284.53119,42.125881,2104139117224029568,1031495793,284.5313056577877,42.125893375952884,6.591415527215517,0.30951306,21.296083,23.976603344597105,0.34416944,11.349589731483949,0.37601027,31,,,16,2,9.194394,569.9429,16.40119,160.60817,17.43679,443.59412,15.0624485,1.72387,2.374342,,,16959,,,,NOT_AVAILABLE,72.23390814228709,16.654445092428574,False,False,0,True,False,False,False,False,False,True,False,,,,,,,0.31200629213140674,0.15613316988958223,True,2MASS J18580748+4207331,16.227,3408,44,-40,PHO2,4.923,0.046,-0.032,PHO2,0.0,0.1,-0.1,PHO2,0.325,0.031,-0.035,0.322,0.044,-0.04,DSEP,0,0,0,13.603,12.994,12.731,none,0.17418980407714812,,,,,,,,,,,,,
408,6671587,284.64786,42.17878,2104144649144931456,152068938,284.64799133191605,42.17887531571464,3.5826494314531625,0.035114747,102.02692,12.075532500521673,0.042612985,11.8459716251886,0.04658564,31,,,31,0,1.5220679,2150.5918,15.66278,208.93384,16.535011,234.15887,14.584834,1.4608011,1.9501772,,,16959,,,,NOT_AVAILABLE,72.31879088399155,16.593822607180996,False,False,0,True,False,False,False,False,False,True,False,,,,,,,0.4904069919594336,0.21975381402884184,True,2MASS J18583548+4210435,15.587,3683,58,-73,PHO2,4.854,0.04,-0.044,PHO2,-0.3,0.1,-0.1,PHO2,0.409,0.037,-0.04,0.437,0.031,-0.047,DSEP,0,0,0,13.336,12.692,12.477,none,0.07577980804443385,6671587.0,3686.0,4.83,0.4219,19.885,0.111,5459.25,1.07,0.6061,1.0,---,1.0,
409,6671727,284.715,42.198078,2104141969085576704,500899442,284.7151205592432,42.19806008627492,4.206910458845442,0.027186882,154.74045,14.642136816724,0.030355627,-7.689627565137139,0.03362582,31,,,0,0,1.03679,2682.8115,15.662078,207.16893,16.719994,954.4915,14.639679,1.3530906,2.0803146,,,16959,,,,NOT_AVAILABLE,72.35669022007276,16.55480318121039,False,False,0,True,False,False,False,False,True,True,False,3829.9265,4.6725,-0.1236,244.5546,0.4273,0.2429,0.3279324446608627,0.10507528678307347,True,2MASS J18585160+4211530,15.679,3641,65,-72,PHO2,4.819,0.044,-0.036,PHO2,-0.1,0.1,-0.1,PHO2,0.438,0.034,-0.046,0.46,0.032,-0.047,DSEP,0,0,0,13.348,12.721,12.538,none,-0.016922096252441676,6671727.0,3643.0,4.82,0.4059,32.149,0.298,4196.76,0.71,0.4788,1.0,---,1.0,
410,6675516,286.42673,42.122768,2105454820328491136,639757037,286.42678826900294,42.12280391869653,2.7248432885972074,0.03656793,74.51456,7.38954072476781,0.04330143,7.157231027072235,0.0460063,31,,,1,0,0.9871225,1807.2897,16.39341,156.95032,17.405254,467.46173,15.398212,1.3382486,2.007042,,,16959,,,,NOT_AVAILABLE,72.78701185563976,15.353014417095793,False,False,0,True,False,False,False,False,False,True,False,,,,,,,0.2023060590514617,0.0401765125030818,True,2MASS J19054241+4207219,16.445,3635,51,-66,PHO2,4.912,0.036,-0.044,PHO2,-0.4,0.1,-0.1,PHO2,0.359,0.034,-0.038,0.386,0.033,-0.053,DSEP,0,0,0,14.172,13.535,13.302,none,-0.051590270996094034,,,,,,,,,,,,,0.006810898911483585
411,6692320,292.08444,42.138809,2125721087375316224,1119366266,292.08446733745075,42.138749345308945,,,,,,,,3,,,61,2,,112.907074,15.967542,140.21246,16.938545,624.52496,14.513523,1.9028007,2.4250221,-20.287874,6.7956886,11,2.7410488,,,NOT_AVAILABLE,74.59680194939295,11.544874643944313,False,False,0,True,False,False,False,False,False,False,False,,,,,,,0.22681738583529248,0.22681738583529248,False,2MASS J19282026+4208197,15.599,3454,69,-76,PHO2,4.892,0.066,-0.044,PHO2,0.0,0.1,-0.1,PHO2,0.357,0.048,-0.058,0.362,0.057,-0.069,DSEP,0,0,4,12.964,12.286,12.095,none,0.3685416946411131,6692320.0,3449.0,4.88,0.3365,5.972,0.088,21543.23,1.369,0.6692,1.0,---,1.0,0.022222940398086654
412,6694166,292.62613,42.100899,2125708541768613376,1437641874,292.62599661921206,42.10060624559364,5.659597520689638,0.032710165,173.02258,-22.241213609390872,0.03819716,-60.61481422858562,0.03661093,31,,,0,0,1.0025764,1784.0354,15.963896,191.49019,17.253016,1020.76556,14.846749,1.3990144,2.4062662,,,16959,,,,NOT_AVAILABLE,74.74445654648304,11.168255114803083,False,False,0,True,False,False,False,False,True,True,False,3551.0505,4.7413,-0.4245,175.9405,0.4522,0.2742,1.1125051113346915,0.08408011624070225,True,2MASS J19303027+4206032,15.996,3407,44,-40,PHO2,4.923,0.048,-0.032,PHO2,0.0,0.1,-0.1,PHO2,0.324,0.035,-0.038,0.32,0.044,-0.04,DSEP,0,0,0,13.359,12.777,12.554,none,-0.03210420227050825,6694166.0,3403.0,4.91,0.3206,46.272,10.64,5867.66,0.747,0.4304,1.0,---,1.0,0.004224894582190012
413,6694734,292.78326,42.180149,2077694763071705344,1574077498,292.78294917320653,42.180404392580165,5.0495469997500075,0.028861303,174.95908,-68.19181685686834,0.0303645,65.94469933096582,0.03226421,31,,,0,0,1.6676567,2181.5903,14.7643,461.19434,15.841652,1140.9739,13.719613,1.3706204,2.1220388,-86.81565,3.9928746,22,6.681002,,,VARIABLE,74.87035723943973,11.100047502406314,False,False,0,True,True,False,True,False,False,True,False,,,,,,,1.2381018051837225,0.294928735675664,True,2MASS J19310801+4210483,15.462,3610,101,-127,PHO54,4.866,0.12,-0.08,PHO54,-0.28,0.25,-0.3,PHO54,0.384,0.071,-0.097,0.396,0.085,-0.113,DSEP,0,0,0,12.36,11.786,11.619,none,-0.697699653625488,,,,,,,,,,,,,0.006228120618798407
414,6696016,293.14169,42.136261,2077685623381707136,887115272,293.14190750364133,42.136288439346075,7.037665198085659,0.016777303,419.47537,42.84333186363864,0.018695941,5.713433307828122,0.020212574,31,,,0,0,1.108304,2609.7012,14.603012,657.90875,15.68984,1094.4673,13.568142,1.3583664,2.1216984,-15.895203,2.478855,14,6.107414,,,VARIABLE,74.95250542650803,10.842660998725508,False,False,0,True,True,False,True,False,True,True,False,3805.8003,4.7026,-0.0428,142.1666,0.4235,0.2426,0.5889869793778314,0.10510602830265495,True,2MASS J19323400+4208105,14.616,3573,72,-79,PHO2,4.896,0.045,-0.05,PHO2,-0.2,0.1,-0.1,PHO2,0.372,0.043,-0.048,0.398,0.041,-0.066,DSEP,0,0,0,12.259,11.666,11.43,none,-0.012987915039062159,6696016.0,3585.0,4.87,0.3847,21.252,0.01,9160.28,1.004,0.5768,1.0,---,1.0,0.006980204295963593
415,6696674,293.31638,42.15789,2077683664876469760,1174384947,293.31634175117495,42.158046147681766,2.8385314184480044,0.27390954,10.363025,-2.0226154073863114,0.2898274,38.02684531199559,0.33116397,31,,,67,0,11.180382,566.7505,15.723398,248.16075,16.54312,942.2768,14.523921,1.6114444,2.0191984,,,16959,,,,NOT_AVAILABLE,75.03196409495764,10.737270499507902,False,False,0,True,False,False,False,False,False,True,False,,,,,,,0.5713238950476345,0.08368526641518452,True,2MASS J19331593+4209283,15.554,3697,74,-81,PHO2,4.804,0.052,-0.032,PHO2,-0.2,0.1,-0.1,PHO2,0.446,0.036,-0.044,0.462,0.034,-0.043,DSEP,0,0,0,13.229,12.577,12.339,none,0.1693982086181638,6696674.0,3698.0,4.81,0.4264,,,,,,1.0,,2.0,0.005256595082633069
416,6699367,294.0148,42.162628,2077718849246806016,57283545,294.0147987914657,42.16258313618904,4.03682258873038,0.025822783,156.32794,-3.341351888344061,0.029123837,-9.446756271482585,0.03192424,31,,,0,0,1.0867368,2797.404,15.625712,292.91486,16.654377,746.0771,14.61829,1.3457778,2.036087,,,16959,,,,NOT_AVAILABLE,75.27707031010786,10.279012390115806,False,False,0,True,False,False,False,False,False,True,False,4124.157,4.2679,-2.1096,243.5634,1.0451,0.5716,0.16154191322650874,0.05129413262646216,True,2MASS J19360355+4209454,15.68,3554,42,-47,PHO2,5.007,0.027,-0.059,PHO2,-0.5,0.1,-0.1,PHO2,0.285,0.037,-0.028,0.3,0.038,-0.042,DSEP,0,0,0,13.34,12.719,12.496,none,-0.05428760528564425,6699367.0,3556.0,4.99,0.3743,,,,,,1.0,,2.0,0.004838489648111921
