,kepid,ra_kic,dec_kic,source_id,random_index,ra,dec,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,astrometric_params_solved,pseudocolour,pseudocolour_error,ipd_frac_multi_peak,ipd_frac_odd_win,ruwe,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,bp_rp,radial_velocity,radial_velocity_error,rv_nb_transits,rv_expected_sig_to_noise,rv_renormalised_gof,rv_chisq_pvalue,phot_variable_flag,l,b,in_qso_candidates,in_galaxy_candidates,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,in_andromeda_survey,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,ag_gspphot,ebpminrp_gspphot,angdist,kepler_gaia_ang_dist,pm_corrected,tm_designation,kepmag,teff,teff_err1,teff_err2,teff_prov,logg,logg_err1,logg_err2,logg_prov,feh,feh_err1,feh_err2,feh_prov,radius,radius_err1,radius_err2,mass,mass_err1,mass_err2,prov_sec,nconfp,nkoi,ntce,jmag,hmag,kmag,planet?,kepler_gaia_mag_diff,KIC,Teff,log(g),Mass,PRot,e_PRot,Rper,LPH,w,DC,Flag,heritage,f3_std
0,1431845,291.30658,37.05212,2051759688954506368,1562772254,291.30659787703377,37.05216004468982,3.958805963018399,0.2511475,15.762873,10.328259802637323,0.2866287,17.266217312298856,0.25848332,95,1.2513307,0.05831873,58,0,5.7408066,600.3615,16.30351,190.54175,17.326115,581.9681,14.78666,1.9847353,2.5394545,,,16959,,,,NOT_AVAILABLE,69.69207041392245,9.81168329425793,False,False,0,True,False,False,False,False,False,True,False,,,,,,,0.1530375605899443,0.174415675668166,True,2MASS J19251357+3703076,15.967,3694,133,-133,KIC0,4.686,0.076,-0.022,KIC0,0.56,0.05,-0.3,KIC0,0.566,0.033,-0.076,0.567,0.041,-0.069,DSEP,0,0,0,13.219,12.56,12.302,none,0.33651066589355416,,,,,,,,,,,,,0.011942940786559594
1,1432978,291.53964,37.070702,2051751717495409280,1184443749,291.5397801297874,37.07089663769566,6.723844847052154,0.032380737,207.64954,22.488115209544972,0.03336403,39.42456624045904,0.039589144,31,,,0,0,1.0218058,2149.3037,15.87663,148.7611,17.242887,840.7855,14.725315,1.4214984,2.5175724,,,16959,,,,NOT_AVAILABLE,69.79404399850806,9.653967712103416,False,False,0,True,False,False,False,False,True,True,False,3515.0989,4.8313,-0.1274,148.0506,0.4954,0.308,0.808077201576193,0.08191266712917084,True,2MASS J19260951+3704145,15.958,3683,117,-147,KIC0,4.688,0.08,-0.02,KIC0,0.56,0.05,-0.3,KIC0,0.563,0.03,-0.083,0.564,0.036,-0.072,DSEP,0,0,0,13.208,12.628,12.375,none,-0.0813701705932619,,,,,,,,,,,,,0.007960103584247417
2,1569863,290.6265,37.142689,2051023531557956608,514529596,290.6265712225024,37.14277335325822,3.8159311159050424,0.029397478,129.8047,4.386589933067092,0.033900872,-2.5826767503997488,0.03138527,31,,,3,0,1.0088041,1506.3517,15.840997,250.93669,16.90751,368.70163,14.803945,1.3655962,2.1035662,,,16959,,,,VARIABLE,69.52857636511719,10.337507537005024,False,False,0,True,False,False,True,False,False,True,False,,,,,,,0.3660466135523288,0.3701769729789804,True,2MASS J19223036+3708336,15.856,3587,48,-53,PHO2,4.912,0.031,-0.042,PHO2,-0.3,0.1,-0.1,PHO2,0.357,0.032,-0.032,0.381,0.034,-0.045,DSEP,0,0,0,13.278,12.651,12.518,none,-0.015003257751464716,1569863.0,3589.0,4.91,0.3862,13.321,0.369,30052.33,1.576,0.7713,1.0,---,1.0,0.013330509098549789
3,1724234,292.10266,37.23151,2051733781711156864,921492409,292.10213231205194,37.230889076578734,10.862310310831804,0.048994794,221.70335,-83.24512329269182,0.051797338,-138.73588543207035,0.057179462,31,,,0,0,0.9289982,1142.1122,16.892363,64.66514,18.61791,514.6587,15.639083,1.4831268,2.9788275,,,16959,,,,NOT_AVAILABLE,70.14465765732872,9.32699416925207,False,False,0,True,False,False,False,False,True,True,False,3263.7646,5.0588,-0.4298,94.7983,0.6075,0.3994,2.698963222166479,0.1812640478911349,True,2MASS J19282464+3713536,17.038,3504,104,-115,PHO54,4.936,0.114,-0.085,PHO54,-0.28,0.3,-0.3,PHO54,0.319,0.082,-0.09,0.32,0.096,-0.096,DSEP,0,0,0,13.915,13.327,13.093,none,-0.14563740539550807,,,,,,,,,,,,,0.006380699999203141
4,1867358,291.24002,37.331589,2052518317615126400,716668210,291.2400715664026,37.33158700124867,2.872773311844377,0.02922134,98.31081,11.46749092381975,0.032320794,4.958091828415105,0.03526255,31,,,1,0,0.98625386,2565.9326,15.943689,251.21115,17.016945,706.29364,14.911878,1.3586481,2.1050673,,,16959,,,,NOT_AVAILABLE,69.92143581401264,9.98440854041535,False,False,0,True,False,False,False,False,False,True,False,,,,,,,0.14778417401878366,0.09366591575891545,True,2MASS J19245760+3719537,15.973,3625,50,-65,PHO2,4.828,0.036,-0.036,PHO2,-0.1,0.1,-0.1,PHO2,0.429,0.03,-0.037,0.452,0.029,-0.043,DSEP,0,0,0,13.612,12.983,12.803,none,-0.02931065368652419,1867358.0,3625.0,4.82,0.3993,32.879,0.735,4835.13,0.448,0.297,1.0,---,1.0,0.004173561255463352
5,1996728,286.50623,37.46706,2099028415384549760,45931370,286.5062632162854,37.46728680796644,7.1245145192888755,0.02099202,339.39157,1.7620471240715663,0.022768565,48.16083582397423,0.02479752,31,,,2,0,1.1413344,2589.46,14.849575,140.9668,15.905626,430.1006,13.77488,1.4068218,2.130746,23.933683,5.8991485,22,7.3829055,,,NOT_AVAILABLE,68.4037212280315,13.44129088885951,False,False,0,True,True,False,False,False,True,True,False,3712.4424,4.7129,-0.3214,140.2164,0.3882,0.2257,0.8220062604760223,0.08100015732203558,True,2MASS J19060149+3728014,14.868,3544,42,-47,PHO2,4.878,0.033,-0.033,PHO2,-0.1,0.1,-0.1,PHO2,0.378,0.03,-0.03,0.397,0.033,-0.04,DSEP,0,0,0,12.316,11.755,11.518,none,-0.018424957275390952,1996728.0,3549.0,4.88,0.3718,53.792,12.023,,0.344,0.1553,1.0,,2.0,0.0012555953188775775
6,2012731,291.01511,37.414719,2052521994107043328,106494982,291.015094186284,37.41462715651543,3.3912816836189856,0.033869743,100.127174,-4.160915707710003,0.03837548,-15.80551651752831,0.041138705,31,,,0,0,1.1911392,2508.221,15.900158,209.36108,17.013792,784.71326,14.848471,1.3689111,2.1653214,,,16959,,,,NOT_AVAILABLE,69.91571962215659,10.181460885323773,False,False,0,True,False,False,False,False,False,True,False,,,,,,,0.3337140573500363,0.08062853199270285,True,2MASS J19240362+3724530,15.976,3470,62,-55,PHO2,4.97,0.05,-0.05,PHO2,-0.3,0.1,-0.1,PHO2,0.289,0.046,-0.038,0.285,0.053,-0.044,DSEP,0,0,0,13.458,12.739,12.567,none,-0.07584207153320399,2012731.0,3471.0,4.98,0.3441,36.258,0.238,9061.6,0.804,0.5086,1.0,---,1.0,0.006364100769478725
7,2142451,286.60022,37.527699,2099122114390514944,1755246293,286.60020952198084,37.52755584656139,4.320835140414331,0.029118007,148.39049,1.6970134666016978,0.031876333,-28.354763828172928,0.03212724,31,,,0,0,0.9311682,2082.0383,15.673026,200.50653,16.875877,919.89526,14.586019,1.3850644,2.2898588,,,16959,,,,NOT_AVAILABLE,68.49154471733264,13.3978131561234,False,False,0,True,False,False,False,False,True,True,False,3760.403,4.6885,0.1428,226.0048,0.4802,0.2866,0.5162198909842427,0.08402738347761375,True,2MASS J19062405+3731397,15.694,3489,77,-84,PHO2,4.868,0.065,-0.045,PHO2,0.0,0.1,-0.1,PHO2,0.379,0.05,-0.061,0.388,0.057,-0.07,DSEP,0,0,0,13.146,12.496,12.286,none,-0.020973915100098495,2142451.0,3482.0,4.86,0.348,33.671,0.692,4652.62,0.431,0.2836,1.0,---,1.0,0.0034324997470935913
8,2157356,290.80032,37.517891,2052538658580396160,1369370167,290.80029011659775,37.51773950089855,1.8998274694780224,0.03449932,55.068546,-5.473897426926428,0.03789737,-27.944710366624562,0.03813271,31,,,0,0,1.0998229,1582.083,15.953155,217.31073,16.9591,620.2601,14.952087,1.3455113,2.0070133,,,16959,,,,VARIABLE,69.93249147670872,10.380024574476922,False,False,0,True,False,False,True,False,False,True,False,,,,,,,0.5520313691235698,0.09830726096650458,True,2MASS J19231207+3731044,15.984,3651,51,-58,PHO2,4.855,0.038,-0.031,PHO2,-0.3,0.1,-0.1,PHO2,0.402,0.029,-0.036,0.421,0.028,-0.042,DSEP,0,0,0,13.656,13.046,12.855,none,-0.030845436096191392,2157356.0,3650.0,4.87,0.4085,13.607,0.046,16120.61,1.43,0.7363,1.0,---,1.0,0.006204011228493887
9,2282712,285.88242,37.641129,2099839270848409984,42239669,285.8824862534341,37.64100582572572,,,,,,,,3,,,55,0,,75.22218,15.858396,242.3514,16.70122,731.81433,14.440436,1.8874872,2.2607832,,,16959,,,,NOT_AVAILABLE,68.36131932761883,13.96381015798454,False,False,0,True,False,False,False,False,False,False,False,,,,,,,0.48197345308639955,0.48197345308639955,False,2MASS J19033178+3738280,15.568,3452,44,-44,PHO2,4.923,0.048,-0.032,PHO2,-0.1,0.1,-0.1,PHO2,0.33,0.03,-0.037,0.332,0.041,-0.041,DSEP,0,0,0,13.042,12.464,12.224,none,0.29039557647705116,2282712.0,3451.0,4.92,0.3372,20.167,0.35,13719.32,1.508,0.7441,1.0,---,1.0,0.006399842590757774
10,2283749,286.23285,37.643372,2099091602943360768,548371632,286.2327989007239,37.64327397648459,3.462365492957824,0.041778255,82.87482,-6.357334948544688,0.045901913,-25.38563196875377,0.0465477,31,,,0,0,0.9469999,988.40045,16.436625,109.06068,17.839725,362.26453,15.274034,1.4273131,2.565692,,,16959,,,,NOT_AVAILABLE,68.47861251597917,13.71086639261596,False,False,0,True,False,False,False,False,True,True,False,3477.2195,4.4066,-0.5145,273.7892,0.5632,0.3521,0.38176587229659603,0.06906890618269192,True,2MASS J19045588+3738361,16.522,3694,117,-147,KIC0,4.686,0.075,-0.02,KIC0,0.56,0.05,-0.3,KIC0,0.566,0.032,-0.081,0.567,0.036,-0.072,DSEP,0,0,0,13.715,13.105,12.877,none,-0.0853754730224594,,,,,,,,,,,,,0.01771050083034754
11,2284919,286.60318,37.67131,2099172313967305856,570346724,286.6032077361524,37.67131472305669,4.2347895733710095,0.026852442,157.70595,7.177408933263213,0.029295059,1.6106347696831165,0.030581675,31,,,0,0,0.9636612,2488.278,15.673396,156.49353,16.834345,774.93256,14.60509,1.3749253,2.2292547,,,16959,,,,NOT_AVAILABLE,68.62748695516578,13.454278024511119,False,False,0,True,False,False,False,False,True,True,False,3810.1885,4.696,0.1141,228.7109,0.5382,0.3148,0.08084262910659996,0.03686194764165909,True,2MASS J19062476+3740167,15.689,3560,78,-92,PHO2,4.83,0.06,-0.045,PHO2,0.0,0.1,-0.1,PHO2,0.421,0.04,-0.06,0.436,0.043,-0.064,DSEP,0,0,0,13.238,12.579,12.345,none,-0.015603889465332088,2284919.0,3564.0,4.82,0.3771,21.833,1.92,,0.064,0.0311,1.0,,2.0,0.003193818055894518
12,2299892,290.75552,37.684509,2052587758647794176,714207891,290.75541362059954,37.68448585721966,3.96136249600941,0.0280152,141.40047,-10.653123985015966,0.03210983,-7.545605943705683,0.033364438,31,,,1,0,1.0721512,2652.661,15.629072,364.91235,16.677889,950.7171,14.612883,1.3492385,2.0650063,,,16959,,,,NOT_AVAILABLE,70.06843203349226,10.485829259115967,False,False,0,True,False,False,False,False,False,True,False,4724.7036,4.651,-2.4897,247.7662,1.6029,0.8863,0.31431774386798605,0.13780162391869236,True,2MASS J19230132+3741042,15.648,3681,58,-65,PHO2,4.789,0.042,-0.028,PHO2,-0.1,0.1,-0.1,PHO2,0.46,0.031,-0.037,0.474,0.029,-0.036,DSEP,0,0,0,13.324,12.669,12.448,none,-0.018927810668945,,,,,,,,,,,,,
13,2300039,290.79013,37.66103,2052586899654344576,135926515,290.79013583247394,37.661052521923985,4.690700808679736,0.024855739,188.71701,0.8265590875143227,0.027072113,5.297185289926954,0.032725513,31,,,0,0,1.0009542,2110.119,15.393587,227.75069,16.668324,856.5607,14.273652,1.4049942,2.3946714,,,16959,,,,VARIABLE,70.05945609686279,10.450807333391325,False,False,0,True,False,False,True,False,True,True,False,3565.0774,4.4036,-0.5121,206.167,0.5052,0.3064,0.0827652239486193,0.005005304817433081,True,2MASS J19230963+3739397,15.427,3408,54,-47,PHO2,4.923,0.055,-0.035,PHO2,0.0,0.1,-0.1,PHO2,0.325,0.037,-0.045,0.322,0.05,-0.05,DSEP,0,0,0,12.792,12.144,11.939,none,-0.03341288757324179,2300039.0,3402.0,4.91,0.3203,1.712,0.006,11605.98,1.184,0.5979,1.0,---,1.0,0.0086872539441787
14,2305283,291.97119,37.64547,2051793705097374336,836047069,291.971203987926,37.64549965711096,4.657680142828041,0.035717428,130.40356,3.5634484042090104,0.038405918,11.789219593686095,0.045592416,95,1.2851533,0.009263354,0,0,1.0970516,2226.0461,15.851414,221.14516,17.081413,938.69214,14.749218,1.3952869,2.3321953,,,16959,,,,NOT_AVAILABLE,70.47115894247702,9.608046805165797,False,False,0,True,False,False,False,False,True,True,False,3657.9111,4.729,0.0177,210.8066,0.4486,0.2696,0.1139680392734323,0.08363756658022294,True,2MASS J19275308+3738436,15.871,3504,52,-52,PHO2,4.858,0.042,-0.028,PHO2,0.0,0.1,-0.1,PHO2,0.389,0.032,-0.036,0.4,0.038,-0.043,DSEP,0,0,0,13.326,12.702,12.432,none,-0.019586273193359816,2305283.0,3495.0,4.86,0.3525,,,,,,1.0,,2.0,0.009102027609204711
15,2441562,291.03546,37.788029,2052548141868348800,1483071612,291.0355803491433,37.78805542010492,2.7252636539030104,0.026069535,104.53825,21.546773516979044,0.02659913,3.1367258214611353,0.030673033,31,,,0,0,1.0853167,1868.0505,15.467982,293.5522,16.47355,804.9031,14.467705,1.3448404,2.005846,,,16959,,,,VARIABLE,70.26281857176735,10.333298746754247,False,False,0,True,False,False,True,False,True,True,False,3841.1897,4.3338,-0.5474,363.5669,0.3985,0.2237,0.3553604758437916,0.04498611163479105,True,2MASS J19240851+3747169,15.558,3611,65,-72,PHO2,4.878,0.045,-0.041,PHO2,-0.3,0.1,-0.1,PHO2,0.378,0.034,-0.043,0.396,0.037,-0.05,DSEP,0,0,0,13.212,12.535,12.365,none,-0.09001770782470686,2441562.0,3617.0,4.87,0.3964,10.104,0.005,19611.0,1.571,0.7861,1.0,---,1.0,0.006857486012728084
16,2449101,292.69855,37.778481,2051864761033685632,1191479933,292.6992249501312,37.77797499025359,7.93568157736449,0.022904456,346.4689,111.88646690654438,0.02254483,-104.28068196097166,0.029997371,31,,,0,0,1.1133692,2754.8462,15.000211,414.05225,16.223343,1262.7003,13.892667,1.4025056,2.330676,32.774113,4.0314217,11,5.1579776,,,NOT_AVAILABLE,70.85708130284952,9.15608143081064,False,False,0,True,False,False,False,False,True,True,False,3565.645,4.7456,-0.2311,126.4695,0.3215,0.1961,2.6470128293530166,0.2010769508971973,True,2MASS J19304765+3746425,15.049,3424,48,-44,PHO2,4.913,0.042,-0.035,PHO2,0.0,0.1,-0.1,PHO2,0.337,0.034,-0.037,0.338,0.045,-0.041,DSEP,0,1,1,12.448,11.924,11.687,cand,-0.04878923797607371,,,,,,,,,,,,,0.004689577343474055
17,2557350,286.81915,37.859009,2099134209017687680,946246314,286.81908739565574,37.858992161978094,,,,,,,,3,,,12,0,,115.05069,16.025358,245.27866,16.901579,785.44434,14.8418045,1.5756613,2.0597744,,,16959,,,,NOT_AVAILABLE,68.87524034377199,13.375099864715187,False,False,0,True,False,False,False,False,False,False,False,,,,,,,0.18798090080327104,0.18798090080327104,False,2MASS J19071659+3751324,15.87,3628,58,-65,PHO2,4.842,0.044,-0.036,PHO2,-0.2,0.1,-0.1,PHO2,0.41,0.034,-0.041,0.427,0.036,-0.044,DSEP,0,1,1,13.527,12.925,12.718,cand,0.15535820007324297,2557350.0,3627.0,4.86,0.4001,18.979,0.072,8548.2,1.028,0.5792,1.0,---,1.0,0.006175551852458448
18,2557669,286.91983,37.878159,2099157917237228160,986535057,286.9198461890856,37.878223143862385,3.6971464408597616,0.018088467,204.39247,1.1593590222236647,0.021002615,14.293827079748674,0.020960292,31,,,0,0,1.1094642,1425.0977,14.767491,307.03107,15.78866,616.664,13.759672,1.3481147,2.028988,-18.174736,4.6951694,22,7.1442986,,,VARIABLE,68.92672646542836,13.310393097737846,False,False,0,True,True,False,True,False,True,True,False,4065.0713,4.4371,0.3413,269.3084,0.5968,0.3351,0.23545543731219942,0.02754166782486856,True,2MASS J19074075+3752413,14.746,3671,54,-60,PHO2,4.827,0.039,-0.035,PHO2,-0.2,0.1,-0.1,PHO2,0.43,0.03,-0.037,0.452,0.028,-0.039,DSEP,0,0,4,12.389,11.744,11.529,none,0.02149134063720659,2557669.0,3672.0,4.83,0.4167,1.864,0.003,34378.5,1.211,0.6054,1.0,---,1.0,0.01968201166115097
19,2572698,290.76395,37.886356,2052594390077421824,1371149046,290.76362343508674,37.885962569096215,9.610808463384165,0.016288465,590.0377,-96.42196414892983,0.01721301,-83.44725449386273,0.02238051,31,,,1,0,1.0345845,3334.915,14.600082,573.7072,15.82182,1068.8978,13.503717,1.3908496,2.3181028,-17.825811,4.583695,21,8.943757,,,NOT_AVAILABLE,70.25509796432877,10.569219756833503,False,False,0,True,True,False,False,False,True,True,False,3642.905,4.7952,-0.1763,103.7238,0.4599,0.2743,1.6932079802058015,0.6202396023001241,True,2MASS J19230341+3753109,13.999,3669,115,-154,PHO54,4.75,0.105,-0.042,PHO54,0.14,0.2,-0.35,PHO54,0.501,0.045,-0.104,0.515,0.051,-0.103,DSEP,0,0,0,12.069,11.449,11.235,none,0.601082397460937,,,,,,,,,,,,,0.006079393800958072
20,2574201,291.10846,37.857792,2052550203452707712,554680689,291.1084975815014,37.85793549121758,4.25652049465017,0.025337119,167.99544,11.299585078545904,0.026596056,30.54865520649281,0.028754668,31,,,0,0,0.9530313,2675.0366,15.467108,442.03113,16.472689,943.1441,14.46935,1.3423865,2.0033388,,,16959,,,,NOT_AVAILABLE,70.35248900862314,10.312849564719052,False,False,0,True,False,False,False,False,True,True,False,3690.6829,4.3375,-1.1929,230.2634,0.2834,0.1586,0.5274970953057965,0.07902198114633177,True,2MASS J19242602+3751280,15.501,3687,65,-80,PHO2,4.813,0.048,-0.036,PHO2,-0.2,0.1,-0.1,PHO2,0.44,0.034,-0.045,0.459,0.032,-0.044,DSEP,0,1,1,13.206,12.535,12.366,cand,-0.03389222717285101,,,,,,,,,,,,,0.0056092269805203205
21,2577743,291.85959,37.896381,2051905339885506944,485811703,291.85936274544076,37.89646092733518,14.191150913793415,0.031610336,448.9402,-42.66813435411652,0.031916883,18.040086646461504,0.040625263,31,,,0,0,2.4739633,2395.8591,13.974681,526.90796,15.325376,1275.3528,12.828528,1.4187074,2.4968472,-8.014818,2.8879158,20,16.812431,,,NOT_AVAILABLE,70.65757393663682,9.800489321305081,False,False,1,True,True,False,False,False,False,True,False,,,,,,,0.7068133033431987,0.03710549069093991,True,2MASS J19272630+3753469,14.014,3673,117,-147,KIC0,4.691,0.08,-0.02,KIC0,0.56,0.05,-0.3,KIC0,0.56,0.032,-0.081,0.561,0.04,-0.069,DSEP,0,0,0,11.261,10.666,10.435,none,-0.03931909942626888,2577743.0,3511.0,4.06,0.3582,32.181,0.114,21087.56,1.399,0.6694,0.0,---,1.0,0.007439821155984501
22,2692708,285.77667,37.923931,2099859268216512000,1664383504,285.77689629665804,37.92409603908027,16.08976220511993,0.014020339,1147.6016,35.937901921658224,0.015802419,35.25114874110979,0.014664839,31,,,1,0,1.2057142,2968.9563,13.667021,550.2593,14.98561,1752.1342,12.531805,1.4128565,2.453805,,,16959,,,,NOT_AVAILABLE,68.59423992653905,14.153688203837815,False,False,0,True,True,False,False,False,False,True,False,,,,,,,0.8752020908704383,0.0740309750871776,True,2MASS J19030640+3755261,13.719,3694,117,-147,KIC0,4.686,0.076,-0.022,KIC0,0.56,0.05,-0.3,KIC0,0.566,0.033,-0.076,0.567,0.036,-0.067,DSEP,0,0,1,11.006,10.406,10.163,none,-0.05197920227050723,2692708.0,3531.0,4.05,0.3653,29.878,0.115,16109.7,0.927,0.5854,0.0,---,1.0,0.01275390036554135
23,2693779,286.12915,37.98531,2099945167561499520,1472128660,286.12918452048217,37.98535696692532,5.74218612515934,0.032956477,174.23544,7.803762577465112,0.035071664,9.466747384292974,0.04052761,31,,,0,0,1.0687517,1777.0131,16.119957,150.70668,17.523289,428.7836,14.95579,1.4290553,2.5674992,,,16959,,,,NOT_AVAILABLE,68.76692172643499,13.923798596153194,False,False,0,True,False,False,False,False,True,True,False,3475.8835,4.7368,-0.2697,173.4298,0.4965,0.3116,0.19540290137574445,0.0321628292134448,True,2MASS J19043099+3759071,16.24,3683,117,-147,KIC0,4.688,0.075,-0.02,KIC0,0.56,0.05,-0.3,KIC0,0.563,0.03,-0.083,0.564,0.036,-0.072,DSEP,0,0,0,13.424,12.789,12.547,none,-0.12004302978515469,,,,,,,,,,,,,0.008130158310716914
24,2707091,290.04471,37.997726,2051310916409659008,1003627881,290.0446637381417,37.99708780786634,4.075498390498727,0.053889792,75.62653,-0.8561163113167076,0.055193212,-129.26715831161084,0.061037846,31,,,0,0,0.9897822,1382.7382,17.011532,59.04843,18.3677,287.25055,15.893358,1.3868817,2.4743423,,,16959,,,,NOT_AVAILABLE,70.10312382562702,11.127393090592607,False,False,0,True,False,False,False,False,True,True,False,3506.4277,4.8669,-0.272,242.5652,0.41,0.2534,2.3012371686116126,0.2575985696229379,True,2MASS J19201072+3759517,16.956,3678,99,-111,PHO2,4.89,0.088,-0.072,PHO2,-0.5,0.25,-0.3,PHO2,0.368,0.065,-0.072,0.384,0.062,-0.085,DSEP,0,0,0,14.471,13.914,13.611,none,0.05553182983398486,,,,,,,,,,,,,0.00690834511796666
25,2834564,286.62314,38.080341,2099199045844004736,648327641,286.62338960493463,38.08044944957362,8.133852143376362,0.015378007,528.9276,41.33731468687199,0.017236264,20.93610019061095,0.020601358,31,,,0,0,1.0739118,2647.7957,14.4534,473.1472,15.60289,1321.1677,13.391824,1.3706095,2.2110662,-23.599493,3.0317588,25,10.216384,,,VARIABLE,69.01853976462054,13.60624282553464,False,False,0,True,True,False,True,False,True,True,False,3737.9111,4.7276,-0.0019,122.3436,0.4291,0.2507,0.8079089221820912,0.07198695972101204,True,2MASS J19062955+3804492,14.509,3530,42,-47,PHO2,4.876,0.035,-0.031,PHO2,-0.1,0.1,-0.1,PHO2,0.376,0.03,-0.033,0.39,0.036,-0.04,DSEP,0,0,0,12.019,11.393,11.159,none,-0.05560034179687534,2834564.0,3524.0,4.88,0.3628,21.875,0.599,15657.19,1.545,0.7263,1.0,---,1.0,0.007835526790773269
26,2834778,286.69421,38.01527,2099186676338195840,1685554945,286.6941469254773,38.01551785540722,4.010567816399619,0.026768569,149.82376,-11.30571527312795,0.030818237,49.340191221017825,0.034764692,31,,,0,0,0.9694155,2114.744,15.778077,266.8239,16.847296,788.89044,14.748298,1.3576174,2.098998,,,16959,,,,NOT_AVAILABLE,68.98083730788876,13.528927254771293,False,False,0,True,False,False,False,False,True,True,False,3825.2302,4.6988,-0.0376,249.7316,0.432,0.2464,0.9100362368790774,0.10285573894253291,True,2MASS J19064660+3800549,15.837,3625,50,-65,PHO2,4.828,0.036,-0.036,PHO2,-0.1,0.1,-0.1,PHO2,0.429,0.03,-0.037,0.452,0.029,-0.043,DSEP,0,0,0,13.44,12.798,12.586,none,-0.05892287445068334,2834778.0,3624.0,4.82,0.399,41.079,0.209,6183.21,0.761,0.4473,1.0,---,1.0,0.004715952013906751
27,2837405,287.53085,38.025242,2099523367413437824,1088058413,287.5304526338339,38.025081798090014,3.785889753407567,0.030562628,123.87318,-63.884246301656695,0.032738395,-33.988164885471285,0.03425487,31,,,1,0,0.99715155,2504.7517,16.006783,264.60275,17.00807,710.92035,15.01538,1.3373672,1.9926901,,,16959,,,,NOT_AVAILABLE,69.26780769070399,12.93217335905454,False,False,0,True,False,False,False,False,True,True,False,3891.7515,4.7694,-0.3087,262.6451,0.4367,0.2421,1.2658851865375451,0.10977942338701586,True,2MASS J19100740+3801308,16.08,3678,40,-51,PHO2,4.848,0.033,-0.03,PHO2,-0.3,0.1,-0.1,PHO2,0.41,0.029,-0.031,0.433,0.024,-0.034,DSEP,0,0,0,13.747,13.124,12.924,none,-0.07321746826171704,,,,,,,,,,,,,0.0060969219491996815
28,2847357,290.29739,38.033741,2052801407498752512,1523819643,290.29734094983843,38.03369620026562,3.0486927891470237,0.057166334,53.33021,-34.56018383369638,0.06662121,-14.1665608268385,0.08964613,95,1.3301167,0.015413556,6,0,1.30294,960.381,16.135323,69.40327,16.861856,80.65131,14.862632,1.7306265,1.9992247,,,16959,,,,NOT_AVAILABLE,70.22532725250822,10.964347813586361,False,False,0,True,False,False,False,False,False,True,False,,,,,,,0.21296741704106922,0.41901268375932155,True,2MASS J19211137+3802014,15.799,3665,49,-54,PHO2,4.832,0.035,-0.032,PHO2,-0.2,0.1,-0.1,PHO2,0.426,0.03,-0.033,0.45,0.028,-0.037,DSEP,0,0,0,13.459,12.813,12.6,none,0.33632257080078176,2847357.0,3666.0,4.83,0.4145,32.441,0.088,5909.03,1.091,0.5987,1.0,---,1.0,0.0018120032690020938
29,2849894,290.90329,38.068531,2052603254890083200,1456491134,290.90327200733213,38.068549754731556,1.791654756677375,0.037706178,47.516212,-4.817551015794014,0.044195775,-0.4784605976986483,0.043498047,31,,,0,0,0.9804569,2030.2266,16.47398,166.26643,17.51696,642.46106,15.471301,1.3374536,2.045659,,,16959,,,,NOT_AVAILABLE,70.47121471029016,10.551395607317573,False,False,0,True,False,False,False,False,True,True,False,4075.9739,4.4808,0.3306,561.3013,0.6248,0.3498,0.08461084149470385,0.0795699824967575,True,2MASS J19233679+3804067,16.522,3583,71,-78,PHO2,4.922,0.066,-0.054,PHO2,-0.4,0.2,-0.2,PHO2,0.339,0.047,-0.058,0.351,0.055,-0.067,DSEP,0,0,0,14.205,13.523,13.33,none,-0.04802005004882659,,,,,,,,,,,,,0.009137762960348132
30,2861126,293.2811,38.082241,2052236739562887296,1701078716,293.28118515500375,38.082202193958594,4.28131552190512,0.024640977,173.7478,16.173594748901042,0.025925929,-4.316790586190898,0.027516995,31,,,0,0,1.0248613,2434.7468,15.512289,235.28658,16.547684,1011.006,14.488928,1.3597841,2.0587559,,,16959,,,,NOT_AVAILABLE,71.34488053926562,8.88931723542702,False,False,0,True,False,False,False,False,True,True,False,3839.0625,4.6936,-0.0432,233.4543,0.3924,0.223,0.27882293634311744,0.07276344565426722,True,2MASS J19330746+3804560,15.555,3606,57,-72,PHO2,4.859,0.045,-0.036,PHO2,-0.2,0.1,-0.1,PHO2,0.395,0.036,-0.044,0.413,0.037,-0.047,DSEP,0,2,1,13.204,12.551,12.372,cand,-0.04271095275878878,2861126.0,3598.0,4.86,0.3895,16.134,0.003,10163.19,0.676,0.3929,1.0,---,1.0,0.0019518315591424754
