,kepid,ra_kic,dec_kic,source_id,random_index,ra,dec,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,astrometric_params_solved,pseudocolour,pseudocolour_error,ipd_frac_multi_peak,ipd_frac_odd_win,ruwe,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,bp_rp,radial_velocity,radial_velocity_error,rv_nb_transits,rv_expected_sig_to_noise,rv_renormalised_gof,rv_chisq_pvalue,phot_variable_flag,l,b,in_qso_candidates,in_galaxy_candidates,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,in_andromeda_survey,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,ag_gspphot,ebpminrp_gspphot,angdist,kepler_gaia_ang_dist,pm_corrected,tm_designation,kepmag,teff,teff_err1,teff_err2,teff_prov,logg,logg_err1,logg_err2,logg_prov,feh,feh_err1,feh_err2,feh_prov,radius,radius_err1,radius_err2,mass,mass_err1,mass_err2,prov_sec,nconfp,nkoi,ntce,jmag,hmag,kmag,planet?,kepler_gaia_mag_diff,KIC,Teff,log(g),Mass,PRot,e_PRot,Rper,LPH,w,DC,Flag,heritage
360,9179906,300.01614,45.52792,2085183777286766592,829388389,300.01623645793387,45.52788548819955,3.7128573741606283,0.026078405,142.37288,13.538220301691613,0.028247839,-4.98302376614485,0.030679889,31,,,0,0,1.0646788,1609.9567,15.670535,216.30634,16.942144,629.3421,14.555058,1.4008023,2.3870869,,,16959,,,,NOT_AVAILABLE,80.38543922528068,8.132579719491577,False,False,0,True,False,False,False,False,True,True,False,3595.896,4.3003,-0.486,276.6934,0.5241,0.3166,0.2731593742624531,0.05188583582498787,True,2MASS J20000387+4531405,15.722,3368,54,-54,PHO2,4.955,0.06,-0.044,PHO2,0.0,0.1,-0.1,PHO2,0.293,0.045,-0.045,0.282,0.063,-0.051,DSEP,0,0,2,13.085,12.413,12.197,none,-0.05146491241455031,9179906.0,3364.0,4.95,0.3075,8.916,0.014,17842.32,1.289,0.6481,1.0,---,1.0
361,9202152,283.55582,45.65107,2107020215647608704,292406046,283.5556353232628,45.65107168183298,6.441338026577529,0.04333776,148.63109,-24.686584804597658,0.05190074,-3.9980783866185066,0.051963657,31,,,0,0,1.0830177,1447.1302,16.563175,65.392494,18.040096,474.02625,15.377271,1.4408774,2.6628256,,,16959,,,,NOT_AVAILABLE,75.42333984012053,18.573047857190286,False,False,0,True,False,False,False,False,True,True,False,3413.752,4.8787,-0.2684,155.5697,0.531,0.3379,0.4647774076809309,0.0988366984215442,True,2MASS J18541339+4539038,16.647,3218,41,-19,PHO2,5.124,0.065,-0.065,PHO2,0.02,0.1,-0.1,PHO2,0.179,0.037,-0.028,0.155,0.041,-0.025,DSEP,0,0,0,13.764,13.181,12.948,none,-0.08382479858398284,,,,,,,,,,,,
362,9202551,283.79349,45.615749,2106836872084549760,776227519,283.79347553180475,45.615538896601045,4.736235673755001,0.04222748,112.160034,2.567377614019999,0.05122812,-37.516292107602226,0.04783472,31,,,0,0,1.0115057,1454.887,16.592299,97.45013,18.038357,490.0063,15.425518,1.424335,2.6128387,,,16959,,,,NOT_AVAILABLE,75.44881317874615,18.404709824563643,False,False,0,True,False,False,False,False,True,True,False,3479.6753,4.789,0.0064,211.8998,0.5022,0.3187,0.7572491410810295,0.17429469585304364,True,2MASS J18551043+4536566,16.574,3369,117,-105,PHO2,4.862,0.117,-0.054,PHO2,0.3,0.15,-0.25,PHO2,0.38,0.067,-0.1,0.384,0.076,-0.123,DSEP,0,0,0,13.817,13.195,12.993,none,0.018298507690428067,,,,,,,,,,,,
363,9203794,284.5079,45.617279,2107154218627836032,1248942144,284.50752571851655,45.61670344033672,19.073662062503487,0.012207921,1562.4006,-54.392400855290155,0.013566642,-116.18882048305517,0.014375677,31,,,0,0,1.1306243,1572.05,13.661134,440.7488,15.075405,909.4994,12.494984,1.4293065,2.5804214,,,16959,,,,NOT_AVAILABLE,75.63434639251196,17.9374020498211,False,False,0,True,True,False,False,False,False,True,False,,,,,,,2.276281537879859,0.2248895361566731,True,2MASS J18580189+4537022,13.764,3261,42,-32,PHO2,5.065,0.044,-0.044,PHO2,0.0,0.1,-0.1,PHO2,0.211,0.031,-0.025,0.189,0.036,-0.024,DSEP,0,0,0,10.943,10.313,10.061,none,-0.10286623382568294,9203794.0,3247.0,5.07,0.2692,52.272,4.377,7078.35,0.806,0.4406,1.0,---,1.0
364,9205855,285.64502,45.651459,2106494649089965056,1030147291,285.6449979175388,45.65147761966965,6.265251193496792,0.03452709,181.45901,-4.658145172579179,0.038849566,0.3225537420992076,0.03982237,31,,,0,0,1.5372676,1503.4338,15.467351,226.54854,16.748959,616.79224,14.347953,1.4029952,2.4010057,,,16959,,,,NOT_AVAILABLE,75.96893629305191,17.207978768908408,False,False,0,True,False,False,False,False,True,True,False,3473.9663,4.4239,-0.7945,157.1643,0.4004,0.2442,0.08706982215566639,0.06470999568222299,True,2MASS J19023480+4539052,15.498,3388,44,-40,PHO2,4.939,0.045,-0.036,PHO2,0.0,0.1,-0.1,PHO2,0.308,0.038,-0.035,0.301,0.048,-0.039,DSEP,0,0,1,12.834,12.206,12.001,none,-0.0306490402221673,9205855.0,3383.0,4.92,0.3139,0.917,0.004,22709.31,1.115,0.5729,1.0,---,1.0
365,9210374,288.2038,45.69939,2130247570583877888,1555813495,288.2043039109102,45.69935075025731,8.402465195267224,0.021839872,384.7305,72.46481216998873,0.02467257,-5.910973150435941,0.02480929,31,,,0,0,1.0188128,2410.5757,15.288931,275.1795,16.682865,970.1157,14.136317,1.4177678,2.546548,,,16959,,,,NOT_AVAILABLE,76.72180427174267,15.571457879915256,False,False,0,True,False,False,False,False,True,True,False,3513.8062,4.7919,-0.0953,118.7366,0.5086,0.3174,1.2748496635561744,0.11726925986462675,True,2MASS J19124891+4541578,15.373,3274,42,-36,PHO2,5.044,0.044,-0.04,PHO2,0.02,0.1,-0.1,PHO2,0.224,0.032,-0.026,0.202,0.038,-0.026,DSEP,0,0,0,12.556,11.949,11.739,none,-0.0840691070556634,,,,,,,,,,,,
366,9214183,290.155,45.651741,2127464672295005824,1372846833,290.1554767574795,45.65215995978496,6.8004626131010495,0.030525805,222.7775,69.04929054113376,0.03243118,87.00211540707545,0.03619972,31,,,0,0,0.978015,2359.882,16.072264,136.46187,17.371473,647.7319,14.949953,1.4025828,2.4215202,,,16959,,,,NOT_AVAILABLE,77.24471175844866,14.304364994993321,False,False,0,True,False,False,False,False,True,True,False,3538.5688,4.9058,-0.4059,146.1536,0.4728,0.2867,1.927227725184308,0.15007644127925313,True,2MASS J19203719+4539062,16.144,3317,39,-39,PHO2,5.057,0.04,-0.045,PHO2,-0.1,0.1,-0.1,PHO2,0.227,0.032,-0.026,0.214,0.035,-0.032,DSEP,0,0,0,13.471,12.896,12.661,none,-0.07173628234863116,,,,,,,,,,,,
367,9222296,293.44217,45.641811,2128025285787851392,652854756,293.44254818589576,45.642143777214294,10.94111214824531,0.021850644,500.72263,55.70093741598196,0.025987519,68.79249780381781,0.027980626,31,,,0,0,1.0674835,2000.6997,15.139013,204.52515,16.602089,587.4237,13.958607,1.4369282,2.6434822,-41.677956,5.5031724,12,5.2092814,,,NOT_AVAILABLE,78.24843297658009,12.2245921970253,False,False,0,True,False,False,False,False,True,True,False,3434.861,4.813,-0.2714,91.7554,0.5183,0.3285,1.530108243954648,0.11467597874265598,True,2MASS J19334612+4538305,15.219,3234,42,-25,PHO2,5.092,0.045,-0.045,PHO2,0.02,0.1,-0.1,PHO2,0.195,0.029,-0.021,0.172,0.033,-0.022,DSEP,0,0,0,12.307,11.705,11.467,none,-0.07998670959472598,9222296.0,3223.0,5.09,0.2616,,,,,,1.0,,2.0
368,9265282,283.77148,45.718079,2106839754004332544,358011297,283.771480042463,45.71838419159065,8.744548563281862,0.040148076,217.80742,4.701881422722245,0.048163343,67.6721090203969,0.046567548,31,,,0,0,1.0446059,1396.4423,16.510157,67.461945,18.120335,379.1154,15.283323,1.4675889,2.8370113,,,16959,,,,NOT_AVAILABLE,75.54487797339537,18.454782989527967,False,False,0,True,False,False,False,False,True,True,False,3326.7275,4.9709,-0.2306,115.1534,0.5629,0.3675,1.0986897315176516,0.07679503126505562,True,2MASS J18550515+4543050,16.626,3208,32,-19,PHO2,5.218,0.032,-0.097,PHO2,0.02,0.1,-0.1,PHO2,0.144,0.039,-0.01,0.125,0.036,-0.008,DSEP,0,0,0,13.547,12.979,12.689,none,-0.11584336853027466,,,,,,,,,,,,
369,9266397,284.37201,45.743759,2107204143328669184,285839966,284.371928910791,45.743760063233374,6.597932610189279,0.65209466,10.11806,-2.200146021687383,0.7761834,11.744728310717386,0.7539151,95,1.1309438,0.16928907,69,0,8.404284,273.0072,16.574615,91.367874,17.393661,491.15747,15.043188,2.0660508,2.3504734,,,16959,,,,NOT_AVAILABLE,75.72411370778879,18.070931113747488,False,False,0,True,False,False,False,False,False,True,False,,,,,,,0.2037585234847266,0.24957464598448859,True,2MASS J18572928+4544375,16.216,3386,43,-40,PHO2,4.975,0.04,-0.04,PHO2,-0.1,0.1,-0.1,PHO2,0.279,0.037,-0.027,0.269,0.044,-0.032,DSEP,0,0,0,13.597,12.962,12.735,none,0.3586154785156239,,,,,,,,,,,,
